(677, 474)
(677, 503)
(680, 532)
(686, 561)
(696, 588)
(711, 613)
(728, 636)
(747, 654)
(770, 660)
(795, 655)
(819, 640)
(843, 621)
(865, 599)
(883, 572)
(892, 541)
(896, 507)
(897, 474)
(681, 459)
(692, 445)
(709, 442)
(727, 445)
(744, 454)
(785, 453)
(807, 445)
(829, 443)
(851, 449)
(865, 464)
(765, 479)
(764, 501)
(763, 523)
(763, 545)
(740, 558)
(752, 563)
(764, 569)
(778, 563)
(791, 559)
(701, 479)
(712, 471)
(728, 473)
(741, 483)
(727, 486)
(711, 486)
(797, 485)
(810, 473)
(826, 473)
(840, 481)
(827, 488)
(812, 488)
(726, 594)
(742, 591)
(755, 590)
(765, 594)
(778, 590)
(795, 592)
(816, 593)
(795, 606)
(778, 612)
(765, 614)
(754, 612)
(741, 605)
(732, 595)
(755, 598)
(765, 600)
(778, 598)
(809, 594)
(778, 600)
(765, 602)
(755, 600)
